        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.16353E+01  0.25329E+01        0.168    0.114    0.240    0.184    0.179    0.000        0.192    0.027    0.093    0.086    0.172    0.000
  0.16579E+01  0.25305E+01        0.166    0.113    0.237    0.182    0.179    0.000        0.202    0.027    0.095    0.086    0.173    0.000
  0.16805E+01  0.25278E+01        0.165    0.113    0.234    0.179    0.180    0.000        0.214    0.028    0.097    0.085    0.173    0.000
  0.17031E+01  0.25256E+01        0.164    0.113    0.232    0.177    0.183    0.000        0.228    0.029    0.099    0.084    0.171    0.000
  0.17257E+01  0.25240E+01        0.163    0.114    0.229    0.175    0.186    0.000        0.239    0.029    0.100    0.084    0.169    0.000
  0.17483E+01  0.25220E+01        0.163    0.115    0.227    0.174    0.189    0.000        0.243    0.030    0.102    0.083    0.168    0.000
  0.17710E+01  0.25192E+01        0.164    0.116    0.224    0.173    0.190    0.000        0.237    0.031    0.103    0.082    0.168    0.000
  0.17936E+01  0.25144E+01        0.166    0.116    0.223    0.172    0.189    0.000        0.226    0.031    0.103    0.081    0.171    0.000
  0.18163E+01  0.25090E+01        0.167    0.117    0.222    0.171    0.187    0.000        0.217    0.031    0.104    0.080    0.174    0.000
  0.18391E+01  0.25033E+01        0.167    0.118    0.221    0.169    0.185    0.000        0.214    0.032    0.104    0.079    0.175    0.000
  0.18618E+01  0.24969E+01        0.167    0.119    0.221    0.167    0.184    0.000        0.218    0.032    0.105    0.077    0.176    0.000
  0.18846E+01  0.24915E+01        0.167    0.121    0.221    0.166    0.186    0.000        0.225    0.032    0.106    0.076    0.173    0.000
  0.19073E+01  0.24855E+01        0.166    0.122    0.221    0.165    0.189    0.000        0.236    0.033    0.107    0.075    0.170    0.000
  0.19301E+01  0.24811E+01        0.167    0.123    0.221    0.166    0.193    0.000        0.242    0.033    0.107    0.073    0.165    0.000
  0.19530E+01  0.24767E+01        0.168    0.124    0.221    0.167    0.195    0.000        0.237    0.032    0.108    0.072    0.163    0.000
