        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.80642E+00  0.11342E+02        0.122    0.094    0.045    0.032    0.177    0.000        0.088    0.130    0.232    0.196    0.157    0.000
  0.79785E+00  0.11299E+02        0.122    0.092    0.048    0.043    0.180    0.000        0.080    0.112    0.224    0.238    0.149    0.000
  0.78892E+00  0.11232E+02        0.122    0.091    0.053    0.057    0.186    0.000        0.068    0.089    0.210    0.282    0.137    0.000
  0.78740E+00  0.11113E+02        0.124    0.103    0.066    0.084    0.197    0.000        0.050    0.065    0.174    0.319    0.116    0.000
  0.81628E+00  0.11070E+02        0.134    0.231    0.125    0.157    0.201    0.000        0.036    0.095    0.175    0.397    0.086    0.000
  0.81472E+00  0.11197E+02        0.134    0.219    0.130    0.175    0.181    0.000        0.035    0.109    0.228    0.477    0.080    0.000
  0.81357E+00  0.11176E+02        0.126    0.184    0.110    0.177    0.157    0.000        0.043    0.124    0.247    0.496    0.067    0.000
  0.81490E+00  0.11092E+02        0.122    0.174    0.092    0.168    0.136    0.000        0.056    0.147    0.245    0.488    0.060    0.000
  0.81598E+00  0.11014E+02        0.120    0.169    0.079    0.159    0.124    0.000        0.068    0.167    0.239    0.469    0.055    0.000
  0.81606E+00  0.10944E+02        0.117    0.167    0.069    0.152    0.125    0.000        0.079    0.184    0.231    0.444    0.055    0.000
  0.81505E+00  0.10868E+02        0.115    0.164    0.062    0.144    0.137    0.000        0.090    0.200    0.223    0.415    0.060    0.000
  0.81323E+00  0.10787E+02        0.112    0.162    0.057    0.136    0.162    0.000        0.102    0.215    0.217    0.382    0.070    0.000
  0.81124E+00  0.10711E+02        0.106    0.159    0.054    0.130    0.198    0.000        0.112    0.228    0.214    0.345    0.083    0.000
  0.81036E+00  0.10639E+02        0.094    0.157    0.054    0.126    0.246    0.000        0.121    0.239    0.216    0.304    0.097    0.000
  0.81324E+00  0.10596E+02        0.072    0.149    0.058    0.131    0.312    0.000        0.131    0.246    0.228    0.259    0.111    0.000
  0.81434E+00  0.10610E+02        0.211    0.114    0.056    0.113    0.352    0.000        0.150    0.252    0.221    0.231    0.144    0.000
  0.80839E+00  0.10794E+02        0.266    0.097    0.057    0.093    0.342    0.000        0.152    0.240    0.212    0.201    0.160    0.000
  0.80111E+00  0.10974E+02        0.272    0.070    0.048    0.069    0.325    0.000        0.173    0.241    0.193    0.227    0.203    0.000
  0.80669E+00  0.10995E+02        0.268    0.063    0.042    0.062    0.316    0.000        0.179    0.213    0.169    0.272    0.237    0.000
  0.81230E+00  0.10987E+02        0.263    0.060    0.038    0.061    0.307    0.000        0.173    0.178    0.151    0.312    0.256    0.000
        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.81632E+00  0.11252E+02        0.115    0.076    0.035    0.031    0.183    0.090        0.077    0.103    0.175    0.233    0.201    0.000
  0.81324E+00  0.11182E+02        0.117    0.079    0.041    0.029    0.178    0.091        0.094    0.116    0.211    0.214    0.190    0.000
  0.80439E+00  0.10917E+02        0.119    0.092    0.057    0.027    0.178    0.091        0.109    0.123    0.272    0.166    0.140    0.000
  0.80274E+00  0.10430E+02        0.128    0.110    0.083    0.028    0.201    0.103        0.110    0.100    0.310    0.110    0.085    0.000
  0.81269E+00  0.99188E+01        0.149    0.147    0.101    0.042    0.224    0.125        0.097    0.087    0.273    0.095    0.051    0.000
  0.81618E+00  0.98492E+01        0.160    0.191    0.100    0.060    0.202    0.139        0.077    0.111    0.243    0.125    0.056    0.000
  0.81162E+00  0.10262E+02        0.140    0.219    0.109    0.071    0.182    0.135        0.063    0.138    0.310    0.169    0.068    0.000
  0.81238E+00  0.10687E+02        0.121    0.202    0.125    0.075    0.154    0.121        0.049    0.159    0.398    0.213    0.068    0.000
  0.81410E+00  0.10944E+02        0.105    0.160    0.130    0.070    0.125    0.102        0.057    0.163    0.463    0.239    0.065    0.000
  0.81613E+00  0.11043E+02        0.098    0.139    0.133    0.068    0.104    0.085        0.064    0.160    0.477    0.242    0.057    0.000
