 51    nsteps  
 step         L11         L12         L13         L21         L22         L23         L31         L32         L33         tincr
 33    0.1000E+01  0.0000E+00 -0.9631E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.9631E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 34    0.1000E+01  0.0000E+00 -0.1055E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1055E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 35    0.1000E+01  0.0000E+00 -0.1131E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1131E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 36    0.1000E+01  0.0000E+00 -0.1189E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1189E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 37    0.1000E+01  0.0000E+00 -0.1228E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1228E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 38    0.1000E+01  0.0000E+00 -0.1248E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1248E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 39    0.1000E+01  0.0000E+00 -0.1248E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1248E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 40    0.1000E+01  0.0000E+00 -0.1228E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1228E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 41    0.1000E+01  0.0000E+00 -0.1189E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1189E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 42    0.1000E+01  0.0000E+00 -0.1131E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1131E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 43    0.1000E+01  0.0000E+00 -0.1055E+01  0.0000E+00  0.0000E+00  0.0000E+00 -0.1055E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 44    0.1000E+01  0.0000E+00 -0.9631E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.9631E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 45    0.1000E+01  0.0000E+00 -0.8557E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.8557E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 46    0.1000E+01  0.0000E+00 -0.7347E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.7347E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 47    0.1000E+01  0.0000E+00 -0.6022E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.6022E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 48    0.1000E+01  0.0000E+00 -0.4602E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.4602E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 49    0.1000E+01  0.0000E+00 -0.3109E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.3109E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 50    0.1000E+01  0.0000E+00 -0.1567E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.1567E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 51    0.1000E+01  0.0000E+00 -0.3062E-15  0.0000E+00  0.0000E+00  0.0000E+00 -0.3062E-15  0.0000E+00 -0.1000E+01     0.2000E-01

