          S1          S2          D1          D2      angS      angD      angN
 -0.1026E+02  0.1460E+03 -0.1193E-02  0.6767E-02     94.02    100.00     98.54
 -0.6045E+01  0.1465E+03 -0.5947E-03  0.6802E-02     92.36     95.00     95.29
 -0.2040E+01  0.1467E+03  0.1548E-05  0.6815E-02     90.80     89.99     91.01
  0.1941E+01  0.1466E+03  0.5976E-03  0.6812E-02     89.24     84.99     86.28
  0.6195E+01  0.1462E+03  0.1198E-02  0.6790E-02     87.57     80.00     82.59
  0.1093E+02  0.1454E+03  0.1807E-02  0.6740E-02     85.70     74.99     78.92
  0.1653E+02  0.1441E+03  0.2426E-02  0.6662E-02     83.46     69.99     73.11
  0.2337E+02  0.1415E+03  0.3062E-02  0.6563E-02     80.62     64.99     65.23
  0.3031E+02  0.1376E+03  0.3722E-02  0.6446E-02     77.58     59.99     57.33
  0.3600E+02  0.1335E+03  0.4413E-02  0.6301E-02     74.91     54.99     51.19
  0.4046E+02  0.1296E+03  0.5132E-02  0.6114E-02     72.66     49.99     46.79
  0.4410E+02  0.1260E+03  0.5882E-02  0.5880E-02     70.70     44.99     43.16
  0.4718E+02  0.1225E+03  0.6671E-02  0.5595E-02     68.93     39.99     40.01
  0.4998E+02  0.1190E+03  0.7504E-02  0.5253E-02     67.21     35.00     37.14
  0.5265E+02  0.1152E+03  0.8391E-02  0.4844E-02     65.45     30.00     34.21
  0.5530E+02  0.1111E+03  0.9336E-02  0.4354E-02     63.54     25.00     31.48
  0.5820E+02  0.1061E+03  0.1033E-01  0.3760E-02     61.25     20.01     28.72
  0.6166E+02  0.9926E+02  0.1133E-01  0.3036E-02     58.15     15.00     24.95
  0.6611E+02  0.8820E+02  0.1225E-01  0.2159E-02     53.15     10.00     19.18
  0.7205E+02  0.6157E+02  0.1291E-01  0.1130E-02     40.52      5.00      8.13
  0.7516E+02 -0.5547E+01  0.1330E-01  0.4614E-06     -4.22      0.00      1.65
  0.7286E+02 -0.6851E+02  0.1268E-01 -0.1109E-02    -43.24     -5.00    -10.46
  0.6702E+02 -0.9111E+02  0.1204E-01 -0.2122E-02    -53.66    -10.00    -20.01
  0.6272E+02 -0.1015E+03  0.1112E-01 -0.2980E-02    -58.27    -15.00    -25.60
  0.5931E+02 -0.1080E+03  0.1014E-01 -0.3690E-02    -61.22    -19.99    -29.38
  0.5644E+02 -0.1128E+03  0.9171E-02 -0.4275E-02    -63.43    -24.99    -32.19
  0.5381E+02 -0.1168E+03  0.8247E-02 -0.4761E-02    -65.27    -30.00    -35.07
  0.5118E+02 -0.1204E+03  0.7382E-02 -0.5169E-02    -66.97    -35.00    -38.12
  0.4842E+02 -0.1237E+03  0.6569E-02 -0.5513E-02    -68.62    -40.01    -41.05
  0.4544E+02 -0.1269E+03  0.5800E-02 -0.5801E-02    -70.31    -45.01    -44.11
  0.4199E+02 -0.1303E+03  0.5068E-02 -0.6042E-02    -72.14    -50.01    -47.50
  0.3789E+02 -0.1338E+03  0.4366E-02 -0.6237E-02    -74.19    -55.01    -51.51
  0.3282E+02 -0.1375E+03  0.3690E-02 -0.6392E-02    -76.57    -60.01    -56.91
  0.2671E+02 -0.1410E+03  0.3038E-02 -0.6517E-02    -79.28    -65.01    -63.94
  0.2033E+02 -0.1436E+03  0.2408E-02 -0.6622E-02    -81.94    -70.02    -71.38
  0.1489E+02 -0.1451E+03  0.1796E-02 -0.6706E-02    -84.14    -75.01    -77.39
  0.1026E+02 -0.1460E+03  0.1193E-02 -0.6767E-02    -85.98    -80.00    -81.45
  0.6046E+01 -0.1465E+03  0.5947E-03 -0.6802E-02    -87.64    -85.00    -84.68
  0.2050E+01 -0.1467E+03  0.1125E-07 -0.6815E-02    -89.20    -90.00    -88.98
