          Evm          Svm          E11          E22          E33          E23          E13          E12             SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP      TIME    TAYLAV      WORKAV
  0.64643E+00  0.69551E+01     0.56000E+00  0.00000E+00 -0.56000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.39537E+01  0.12064E+00 -0.40743E+01  0.15632E-01 -0.44978E-02  0.27308E-01      298.      0.56     2.221  0.2878E+01
  0.66952E+00  0.71082E+01     0.58000E+00  0.00000E+00 -0.58000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.40410E+01  0.12289E+00 -0.41638E+01  0.16030E-01 -0.53701E-02  0.28303E-01      298.      0.58     2.220  0.3026E+01
  0.69260E+00  0.72617E+01     0.60000E+00  0.00000E+00 -0.60000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.41282E+01  0.12562E+00 -0.42538E+01  0.16360E-01 -0.59695E-02  0.29326E-01      298.      0.60     2.220  0.3177E+01
  0.71569E+00  0.74157E+01     0.62000E+00  0.00000E+00 -0.62000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.42154E+01  0.12895E+00 -0.43443E+01  0.16629E-01 -0.63049E-02  0.30275E-01      298.      0.62     2.220  0.3331E+01
  0.73878E+00  0.75701E+01     0.64000E+00  0.00000E+00 -0.64000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.43025E+01  0.13291E+00 -0.44354E+01  0.16874E-01 -0.64377E-02  0.31105E-01      298.      0.64     2.220  0.3489E+01
  0.76186E+00  0.77249E+01     0.66000E+00  0.00000E+00 -0.66000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.43894E+01  0.13754E+00 -0.45270E+01  0.17152E-01 -0.64503E-02  0.31792E-01      298.      0.66     2.220  0.3649E+01
  0.78495E+00  0.78800E+01     0.68000E+00  0.00000E+00 -0.68000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.44762E+01  0.14285E+00 -0.46191E+01  0.17527E-01 -0.64246E-02  0.32319E-01      298.      0.68     2.220  0.3814E+01
  0.80803E+00  0.80353E+01     0.70000E+00  0.00000E+00 -0.70000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.45628E+01  0.14884E+00 -0.47117E+01  0.18042E-01 -0.64246E-02  0.32690E-01      298.      0.70     2.220  0.3981E+01
  0.83111E+00  0.81906E+01     0.72000E+00  0.00000E+00 -0.72000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.46492E+01  0.15524E+00 -0.48044E+01  0.18712E-01 -0.64637E-02  0.32861E-01      298.      0.72     2.221  0.4152E+01
  0.85420E+00  0.83468E+01     0.74000E+00  0.00000E+00 -0.74000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.47355E+01  0.16268E+00 -0.48981E+01  0.19476E-01 -0.65533E-02  0.32893E-01      298.      0.74     2.221  0.4326E+01
  0.87728E+00  0.85035E+01     0.76000E+00  0.00000E+00 -0.76000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.48216E+01  0.17091E+00 -0.49925E+01  0.20297E-01 -0.66562E-02  0.32769E-01      298.      0.76     2.221  0.4504E+01
  0.90036E+00  0.86611E+01     0.78000E+00  0.00000E+00 -0.78000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.49077E+01  0.18038E+00 -0.50881E+01  0.21117E-01 -0.67686E-02  0.32555E-01      298.      0.78     2.222  0.4685E+01
  0.92345E+00  0.88188E+01     0.80000E+00  0.00000E+00 -0.80000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.49935E+01  0.19039E+00 -0.51839E+01  0.21905E-01 -0.68407E-02  0.32221E-01      298.      0.80     2.222  0.4870E+01
  0.94653E+00  0.89774E+01     0.82000E+00  0.00000E+00 -0.82000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.50791E+01  0.20173E+00 -0.52809E+01  0.22610E-01 -0.69105E-02  0.31884E-01      298.      0.82     2.222  0.5058E+01
  0.96961E+00  0.91362E+01     0.84000E+00  0.00000E+00 -0.84000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.51644E+01  0.21406E+00 -0.53784E+01  0.23224E-01 -0.69783E-02  0.31548E-01      298.      0.84     2.223  0.5249E+01
  0.99269E+00  0.92957E+01     0.86000E+00  0.00000E+00 -0.86000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.52493E+01  0.22759E+00 -0.54769E+01  0.23755E-01 -0.70627E-02  0.31238E-01      298.      0.86     2.223  0.5444E+01
  0.10158E+01  0.94557E+01     0.88000E+00  0.00000E+00 -0.88000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.53339E+01  0.24233E+00 -0.55762E+01  0.24242E-01 -0.71671E-02  0.30943E-01      298.      0.88     2.224  0.5642E+01
  0.10388E+01  0.96163E+01     0.90000E+00  0.00000E+00 -0.90000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.54182E+01  0.25826E+00 -0.56765E+01  0.24735E-01 -0.72955E-02  0.30653E-01      298.      0.90     2.225  0.5844E+01
  0.10619E+01  0.97774E+01     0.92000E+00  0.00000E+00 -0.92000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.55021E+01  0.27536E+00 -0.57775E+01  0.25276E-01 -0.74531E-02  0.30359E-01      298.      0.92     2.225  0.6049E+01
  0.10850E+01  0.99334E+01     0.94000E+00  0.00000E+00 -0.94000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.55890E+01  0.28133E+00 -0.58704E+01  0.26281E-01 -0.73973E-02  0.29866E-01      298.      0.94     2.225  0.6257E+01
  0.11081E+01  0.10095E+02     0.96000E+00  0.00000E+00 -0.96000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.56723E+01  0.30046E+00 -0.59728E+01  0.26970E-01 -0.75940E-02  0.29516E-01      298.      0.96     2.226  0.6469E+01
  0.11311E+01  0.10258E+02     0.98000E+00  0.00000E+00 -0.98000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.57552E+01  0.32071E+00 -0.60760E+01  0.27641E-01 -0.78098E-02  0.29154E-01      298.      0.98     2.227  0.6685E+01
  0.11542E+01  0.10421E+02     0.10000E+01  0.00000E+00 -0.10000E+01  0.00000E+00  0.00000E+00  0.00000E+00     0.58379E+01  0.34224E+00 -0.61801E+01  0.28258E-01 -0.80414E-02  0.28803E-01      298.      1.00     2.227  0.6904E+01
