          S1          S2          D1          D2      angS      angD      angN
 -0.3844E+01  0.6373E+00 -0.2564E+00  0.2225E-01    170.59    175.04    171.94
 -0.3784E+01  0.9809E+00 -0.2527E+00  0.4435E-01    165.47    170.05    168.28
 -0.3703E+01  0.1319E+01 -0.2466E+00  0.6583E-01    160.39    165.05    164.31
 -0.3596E+01  0.1651E+01 -0.2383E+00  0.8671E-01    155.33    160.00    159.58
 -0.3472E+01  0.1948E+01 -0.2284E+00  0.1064E+00    150.71    155.03    154.69
 -0.3338E+01  0.2203E+01 -0.2170E+00  0.1251E+00    146.57    150.03    149.89
 -0.3201E+01  0.2420E+01 -0.2044E+00  0.1429E+00    142.90    145.05    145.02
 -0.3052E+01  0.2614E+01 -0.1907E+00  0.1598E+00    139.42    140.04    139.97
 -0.2885E+01  0.2796E+01 -0.1762E+00  0.1759E+00    135.89    135.05    134.72
 -0.2662E+01  0.2993E+01 -0.1606E+00  0.1912E+00    131.64    130.03    129.24
 -0.2308E+01  0.3249E+01 -0.1440E+00  0.2055E+00    125.39    125.02    123.85
 -0.1650E+01  0.3634E+01 -0.1260E+00  0.2180E+00    114.42    120.02    116.43
 -0.1304E+01  0.3791E+01 -0.1062E+00  0.2273E+00    108.98    115.04    111.33
 -0.1074E+01  0.3872E+01 -0.8552E-01  0.2346E+00    105.51    110.03    106.58
 -0.8766E+00  0.3922E+01 -0.6457E-01  0.2405E+00    102.60    105.03    102.01
 -0.6861E+00  0.3955E+01 -0.4335E-01  0.2453E+00     99.84    100.02     97.73
 -0.4896E+00  0.3974E+01 -0.2187E-01  0.2489E+00     97.02     95.02     93.67
 -0.2772E+00  0.3980E+01  0.6790E-04  0.2513E+00     93.98     89.98     89.74
